Enrollment_no,Name,Technology,Welcome_test,Presentation,Mini_projects,Hrskills,Project_presentation,Project_submission,Attendance,Discipline,Grade
1827,Sana Kapoor,AI,42,139,87,99,183,251,86,88,A++
1828,Anjali Kapoor,ML,48,143,92,91,194,294,100,68,A++
1829,Karan Joshi,Data Sci,36,114,95,117,214,246,78,70,A++
1830,Rohit Roy,ML,34,94,70,93,165,288,76,71,A+
1831,Aditya Sharma,Robotics,41,150,100,107,231,215,94,92,A++
1832,Ravi Roy,IoT,30,110,84,118,181,267,98,65,A++
1833,Neha Singh,Robotics,39,111,78,132,204,298,88,70,A++
1834,Vikas Gupta,Robotics,40,109,98,99,199,264,91,81,A++
1835,Rohit Roy,ML,48,125,78,92,216,265,70,93,A++
1836,Sana Deshmukh,AI,42,129,88,93,230,216,93,97,A++
1837,Nisha Deshmukh,Robotics,42,148,86,90,192,276,83,81,A++
1838,Sana Chawla,ML,33,115,69,125,164,300,96,68,A++
1839,Sana Patel,AI,39,148,77,147,204,273,98,67,A++
1840,Rohit Singh,IoT,42,94,86,94,195,280,92,93,A++
1841,Sana Sharma,Robotics,33,136,92,144,192,206,76,89,A++
1842,Rohit Deshmukh,ML,37,102,71,97,170,219,83,69,A+
1843,Rahul Singh,IoT,36,148,88,122,166,230,99,100,A++
1844,Nisha Kapoor,ML,50,138,89,108,243,297,91,99,A++
1845,Priya Mehta,Robotics,30,120,68,101,207,276,71,77,A++
1846,Vikas Rana,ML,50,150,88,150,239,283,82,97,A++
1847,Divya Roy,Java,30,134,67,135,192,224,89,85,A++
1848,Nisha Chawla,IoT,34,91,60,124,233,283,76,81,A++
1849,Divya Deshmukh,Robotics,44,104,73,142,203,282,92,77,A++
1850,Karan Deshmukh,Java,33,109,82,112,217,203,86,61,A++
1851,Sana Nair,Data Sci,39,102,87,132,201,240,96,66,A++
1852,Aryan Sharma,ML,37,111,73,130,207,203,87,85,A++
1853,Sneha Singh,Data Sci,49,92,95,98,200,287,94,93,A++
1854,Sana Iyer,Robotics,44,94,62,129,240,220,99,87,A++
1855,Karan Rana,Java,47,97,74,133,241,280,85,80,A++
1856,Priya Joshi,AI,42,143,87,99,177,298,90,60,A++
1857,Aryan Yadav,AI,49,149,67,115,188,201,90,67,A++
1858,Divya Verma,Data Sci,39,95,66,91,227,291,100,84,A++
1859,Aditya Verma,ML,46,141,88,147,216,225,86,88,A++
1860,Ravi Roy,Java,35,143,71,129,248,287,88,90,A++
1861,Aditya Roy,IoT,38,143,77,132,222,273,96,71,A++
1862,Divya Yadav,AI,41,94,80,122,161,274,100,96,A++
1863,Meera Verma,IoT,30,112,75,96,194,245,74,81,A++
1864,Sana Singh,Data Sci,45,150,81,135,166,252,74,88,A++
1865,Rahul Rana,Data Sci,31,98,63,133,164,245,77,97,A++
1866,Rohit Patel,ML,36,120,83,136,218,269,76,87,A++
1867,Aditya Yadav,Web Dev,42,143,94,118,219,290,70,66,A++
1868,Sana Chawla,Data Sci,31,116,78,126,218,226,70,66,A++
1869,Anjali Gupta,ML,43,133,87,93,160,279,92,65,A++
1870,Nisha Singh,ML,38,125,98,120,187,282,77,95,A++
1871,Meera Gupta,ML,36,116,78,131,217,298,91,60,A++
1872,Anjali Gupta,AI,44,142,94,116,163,298,100,89,A++
1873,Anjali Kapoor,Robotics,40,115,99,138,186,209,100,83,A++
1874,Aditya Iyer,Web Dev,42,131,81,139,177,223,89,100,A++
1875,Karan Mehta,Java,37,131,86,135,192,241,76,63,A++
1876,Rahul Gupta,Web Dev,35,148,89,100,173,230,78,74,A++
1877,Nisha Deshmukh,Data Sci,41,130,86,138,167,260,82,93,A++
1878,Divya Nair,Data Sci,30,144,73,145,180,273,97,95,A++
1879,Vikas Roy,Robotics,44,125,63,138,172,295,100,90,A++
1880,Neha Verma,Web Dev,42,143,91,142,232,240,84,80,A++
1881,Aditya Roy,ML,33,103,93,121,181,284,98,61,A++
1882,Divya Singh,Java,43,107,94,119,160,257,70,87,A++
1883,Divya Singh,Java,31,126,61,135,231,289,72,80,A++
1884,Aryan Yadav,IoT,45,131,90,103,221,277,73,61,A++
1885,Anjali Joshi,ML,43,98,74,149,192,217,94,99,A++
1886,Divya Rana,IoT,32,132,64,125,206,208,82,89,A++
1887,Aryan Rana,Data Sci,44,92,86,139,176,285,90,99,A++
1888,Nisha Rana,IoT,40,148,81,116,239,215,76,64,A++
1889,Karan Sharma,Data Sci,38,104,95,135,161,285,80,89,A++
1890,Meera Gupta,AI,38,103,72,109,200,228,71,75,A+
1891,Sneha Yadav,AI,43,140,92,145,174,210,72,96,A++
1892,Priya Yadav,Web Dev,39,128,81,99,234,219,83,85,A++
1893,Neha Chawla,Web Dev,47,99,85,95,235,296,80,94,A++
1894,Anjali Deshmukh,ML,44,140,66,97,207,300,76,73,A++
1895,Divya Nair,Robotics,34,128,78,122,181,261,73,76,A++
1896,Rohit Kapoor,Java,47,134,62,145,230,236,73,68,A++
1897,Sana Verma,Robotics,32,130,76,103,244,239,79,75,A++
1898,Karan Chawla,IoT,35,90,84,93,214,205,92,93,A++
1899,Rahul Patel,Java,46,143,99,104,225,285,97,92,A++
1900,Meera Kapoor,Robotics,47,107,78,124,174,266,99,81,A++
1901,Ravi Yadav,AI,35,116,63,97,185,240,93,83,A++
1902,Rohit Singh,Robotics,40,149,65,102,169,239,72,98,A++
1903,Rohit Mehta,IoT,47,142,67,97,239,299,85,60,A++
1904,Aditya Verma,Data Sci,45,142,89,98,217,237,93,86,A++
1905,Ravi Verma,IoT,33,136,70,136,206,256,100,86,A++
1906,Rohit Yadav,AI,31,139,94,134,226,274,89,82,A++
1907,Vikas Joshi,Robotics,41,121,85,92,220,232,98,69,A++
1908,Ravi Deshmukh,Robotics,35,136,94,131,244,253,78,69,A++
1909,Sana Iyer,IoT,48,132,70,98,207,248,86,70,A++
1910,Vikas Rana,Java,43,148,69,99,239,236,72,100,A++
1911,Divya Sharma,Web Dev,46,147,88,117,188,201,74,80,A++
1912,Neha Rana,ML,40,141,75,116,239,203,99,92,A++
1913,Rohit Yadav,Data Sci,46,124,98,104,249,285,86,69,A++
1914,Divya Nair,IoT,43,98,95,139,195,241,99,68,A++
1915,Nisha Sharma,Robotics,48,106,89,105,220,205,74,64,A++
1916,Anjali Mehta,IoT,42,114,92,116,243,253,73,94,A++
1917,Divya Verma,Robotics,31,92,85,121,215,257,80,66,A++
1918,Karan Singh,Data Sci,35,135,90,105,212,279,84,96,A++
1919,Aryan Sharma,IoT,34,136,74,123,250,288,81,98,A++
1920,Sneha Singh,Robotics,30,103,80,101,176,256,83,73,A++
1921,Sana Rana,AI,36,90,82,142,230,245,83,72,A++
1922,Sneha Verma,Java,49,112,91,103,208,230,72,100,A++
1923,Anjali Chawla,IoT,37,148,72,148,187,281,85,90,A++
1924,Nisha Verma,Java,32,138,95,135,182,297,91,80,A++
1925,Vikas Kapoor,Data Sci,47,130,83,103,172,250,72,63,A++
1926,Priya Deshmukh,Web Dev,39,90,94,128,200,293,70,76,A++
1927,Sneha Rana,Web Dev,45,122,67,91,190,224,94,82,A++
1928,Rohit Joshi,IoT,48,131,74,133,185,264,88,84,A++
1929,Priya Patel,Java,42,144,94,102,181,255,82,67,A++
1930,Karan Mehta,Robotics,36,136,81,123,197,243,97,60,A++
1931,Anjali Sharma,ML,44,99,91,118,173,279,86,69,A++
1932,Rahul Rana,Data Sci,43,121,89,141,250,241,94,95,A++
1933,Sana Kapoor,Robotics,47,149,64,146,234,285,94,93,A++
1934,Vikas Patel,AI,42,101,97,135,206,267,79,74,A++
1935,Rohit Iyer,Web Dev,49,141,76,92,235,253,97,99,A++
1936,Neha Rana,Java,47,103,84,142,172,212,80,80,A++
1937,Vikas Gupta,AI,50,94,73,94,209,242,90,72,A++
1938,Neha Sharma,Java,46,132,77,148,169,283,98,65,A++
1939,Nisha Gupta,IoT,42,101,75,119,213,257,88,88,A++
1940,Divya Yadav,ML,40,99,74,118,246,235,72,66,A++
1941,Divya Yadav,Web Dev,48,95,100,150,170,276,90,80,A++
1942,Priya Roy,ML,48,96,80,94,168,237,100,83,A++
1943,Sneha Deshmukh,IoT,41,135,87,150,167,285,95,93,A++
1944,Divya Chawla,Data Sci,30,96,60,134,187,201,94,91,A+
1945,Aryan Deshmukh,AI,47,98,79,112,175,235,93,94,A++
1946,Karan Deshmukh,Java,33,115,86,101,221,270,70,98,A++
1947,Ravi Sharma,AI,41,98,97,118,195,281,74,97,A++
1948,Rahul Roy,Data Sci,33,150,77,140,237,230,91,79,A++
1949,Neha Joshi,Data Sci,38,95,87,123,244,262,88,90,A++
1950,Divya Joshi,IoT,34,126,95,133,183,236,88,62,A++
1951,Karan Patel,IoT,41,149,78,110,225,281,80,95,A++
1952,Neha Chawla,Data Sci,34,98,85,105,213,213,76,83,A++
1953,Meera Chawla,Data Sci,31,148,98,112,205,275,100,63,A++
1954,Anjali Joshi,Web Dev,50,140,79,104,182,267,99,61,A++
1955,Anjali Chawla,ML,43,122,98,147,240,222,70,66,A++
1956,Aditya Roy,Java,41,115,100,104,238,287,95,94,A++
1957,Divya Nair,Robotics,42,136,85,145,217,220,81,96,A++
1958,Rohit Roy,Java,43,132,85,120,189,237,76,69,A++
1959,Meera Joshi,IoT,32,108,79,146,210,210,80,94,A++
1960,Divya Chawla,Data Sci,35,135,72,98,227,295,85,83,A++
1961,Rahul Iyer,IoT,44,120,76,123,223,278,71,72,A++
1962,Rohit Chawla,IoT,37,131,82,110,222,272,80,95,A++
1963,Sneha Yadav,Data Sci,42,115,95,122,161,230,78,95,A++
1964,Anjali Singh,Data Sci,49,112,69,110,202,219,99,90,A++
1965,Vikas Yadav,ML,38,110,78,95,230,264,76,72,A++
1966,Meera Mehta,Data Sci,43,95,71,111,169,236,88,91,A++
1967,Vikas Yadav,Robotics,46,104,99,135,224,201,80,93,A++
1968,Aditya Mehta,Data Sci,50,136,81,146,174,249,93,85,A++
1969,Neha Yadav,Robotics,42,149,83,136,221,226,72,80,A++
1970,Priya Sharma,AI,46,149,92,134,217,200,83,84,A++
1971,Ravi Singh,Robotics,35,122,98,113,173,228,74,72,A++
1972,Sneha Deshmukh,Web Dev,42,138,85,143,200,258,92,78,A++
1973,Neha Patel,Web Dev,32,105,87,137,217,204,92,99,A++
1974,Karan Singh,Data Sci,44,126,61,107,160,299,99,96,A++
1975,Sana Sharma,Data Sci,34,126,79,139,173,288,94,87,A++
1976,Neha Mehta,AI,31,124,66,124,178,279,79,77,A++
1977,Karan Iyer,Java,36,118,65,117,181,239,73,96,A++
1978,Anjali Verma,AI,40,124,64,115,250,221,94,68,A++
1979,Anjali Chawla,IoT,36,111,100,106,169,297,80,92,A++
1980,Sana Yadav,AI,45,120,96,147,232,257,97,85,A++
1981,Meera Chawla,Robotics,38,129,70,144,209,249,86,72,A++
1982,Aditya Nair,Java,41,124,71,101,169,224,76,74,A+
1983,Rohit Mehta,Java,46,128,100,110,228,265,83,67,A++
1984,Ravi Iyer,AI,41,117,75,145,227,264,86,99,A++
1985,Ravi Nair,Web Dev,36,112,66,102,244,229,86,65,A++
1986,Rahul Deshmukh,Robotics,38,111,87,97,211,217,78,65,A++
1987,Sneha Roy,Data Sci,46,108,70,102,163,287,98,73,A++
1988,Nisha Kapoor,Data Sci,30,111,91,103,212,242,92,84,A++
1989,Neha Mehta,ML,40,117,87,90,185,216,100,64,A+
1990,Rahul Verma,AI,46,123,69,134,191,256,82,86,A++
1991,Neha Roy,Java,35,150,97,92,223,276,76,96,A++
1992,Ravi Rana,Web Dev,43,129,66,114,236,279,99,89,A++
1993,Nisha Verma,Java,39,144,92,117,187,220,84,72,A++
1994,Meera Rana,AI,30,127,66,116,224,265,100,77,A++
1995,Sana Sharma,Robotics,30,132,77,103,236,268,96,63,A++
1996,Sana Nair,ML,40,121,98,135,191,274,98,84,A++
1997,Anjali Verma,Data Sci,40,101,93,93,182,274,99,86,A++
1998,Rohit Gupta,ML,33,129,69,122,211,282,79,79,A++
1999,Aryan Rana,Robotics,34,148,79,129,161,216,70,62,A+
2000,Aditya Gupta,AI,40,124,84,118,211,223,77,77,A++
2001,Karan Iyer,Web Dev,34,112,86,105,220,266,96,83,A++
2002,Ravi Gupta,ML,37,91,88,126,209,211,98,74,A++
2003,Aditya Yadav,ML,39,115,97,124,250,224,89,76,A++
2004,Sana Yadav,Web Dev,39,105,72,139,229,211,92,74,A++
2005,Rohit Joshi,Web Dev,38,141,65,114,206,228,84,64,A++
2006,Karan Joshi,Robotics,37,119,67,128,179,253,94,77,A++
2007,Vikas Singh,Web Dev,48,96,87,142,185,215,87,95,A++
2008,Sneha Chawla,Web Dev,45,135,64,116,190,259,90,79,A++
2009,Sana Rana,Java,42,97,64,92,178,248,70,100,A+
2010,Meera Verma,ML,34,120,77,118,242,231,82,91,A++
2011,Sneha Joshi,AI,33,106,68,93,242,201,95,91,A++
2012,Priya Gupta,Data Sci,39,138,88,98,240,256,83,72,A++
2013,Aditya Sharma,Java,36,117,94,143,184,278,85,98,A++
2014,Karan Patel,Robotics,38,95,78,94,203,267,77,60,A++
2015,Divya Roy,Java,32,146,64,124,166,203,71,62,A+
2016,Anjali Yadav,AI,46,93,67,119,172,223,83,86,A+
2017,Ravi Iyer,ML,50,119,96,108,233,225,74,93,A++
2018,Aryan Singh,Java,45,126,68,130,173,300,86,85,A++
2019,Neha Sharma,ML,42,149,71,149,242,277,97,94,A++
2020,Meera Sharma,Data Sci,45,93,78,92,248,265,87,67,A++
2021,Rohit Mehta,IoT,47,136,92,101,191,268,74,97,A++
2022,Nisha Iyer,IoT,47,111,77,136,212,274,77,65,A++
2023,Aditya Iyer,Robotics,48,121,94,110,221,281,86,97,A++
2024,Aryan Kapoor,Java,50,96,68,122,221,230,78,81,A++
2025,Aryan Mehta,Data Sci,33,102,61,129,226,239,80,92,A++
2026,Aryan Iyer,AI,30,98,80,146,215,214,85,68,A++
2027,Karan Joshi,AI,35,123,61,114,165,273,90,63,A++
2028,Aditya Nair,Data Sci,46,120,68,122,223,208,89,81,A++
2029,Priya Chawla,Web Dev,37,135,72,108,229,293,70,98,A++
2030,Divya Kapoor,Data Sci,45,141,73,96,249,227,85,71,A++
2031,Anjali Sharma,AI,48,143,100,125,206,272,79,98,A++
2032,Priya Gupta,Java,47,126,64,130,247,286,73,94,A++
2033,Sana Yadav,ML,47,97,80,93,160,232,76,95,A+
2034,Meera Nair,ML,30,100,90,150,209,246,92,76,A++
2035,Vikas Nair,ML,35,96,88,116,226,275,77,85,A++
2036,Sneha Patel,Java,38,119,69,147,199,202,100,75,A++
2037,Rahul Yadav,ML,44,150,93,129,240,284,75,81,A++
2038,Rahul Singh,Web Dev,38,128,75,91,211,226,98,62,A++
2039,Nisha Nair,ML,45,117,67,135,236,286,76,77,A++
2040,Priya Singh,IoT,31,99,91,90,216,224,91,91,A++
2041,Rohit Singh,Web Dev,37,130,89,100,211,207,79,67,A++
2042,Karan Rana,IoT,48,136,95,125,177,233,93,88,A++
2043,Divya Joshi,Data Sci,34,129,84,91,226,246,78,65,A++
2044,Meera Deshmukh,ML,36,124,78,96,165,258,85,79,A++
2045,Rahul Iyer,Java,48,99,65,113,173,216,83,67,A+
2046,Sneha Deshmukh,Java,30,134,74,103,240,236,76,83,A++
2047,Sneha Nair,Robotics,44,110,93,138,162,215,77,83,A++
2048,Priya Deshmukh,Java,33,148,78,93,186,232,84,98,A++
2049,Karan Roy,Robotics,36,101,98,148,244,280,92,73,A++
2050,Divya Roy,Java,42,116,98,129,202,265,78,97,A++
2051,Rohit Chawla,AI,33,117,91,143,184,248,96,80,A++
2052,Neha Chawla,Web Dev,46,118,74,123,163,240,96,94,A++
2053,Sneha Verma,Web Dev,34,113,67,108,163,221,80,78,A+
2054,Aditya Verma,Data Sci,45,115,91,127,173,260,76,82,A++
2055,Sana Deshmukh,Java,44,141,93,133,239,288,97,89,A++
2056,Sneha Nair,Web Dev,43,123,97,132,198,271,80,78,A++
2057,Ravi Sharma,Java,39,125,89,92,212,264,91,94,A++
2058,Anjali Joshi,Java,36,124,99,129,225,283,79,87,A++
2059,Anjali Kapoor,Java,41,98,96,130,198,258,96,94,A++
2060,Aryan Joshi,Java,47,141,96,105,236,216,75,96,A++
2061,Nisha Kapoor,IoT,42,137,100,147,234,248,74,69,A++
2062,Divya Patel,AI,47,101,80,126,182,268,76,85,A++
2063,Anjali Joshi,Robotics,38,95,61,111,165,217,94,61,A+
2064,Meera Verma,Robotics,40,104,85,104,239,280,94,88,A++
2065,Ravi Sharma,Web Dev,33,104,88,145,179,279,77,79,A++
2066,Rohit Joshi,Web Dev,31,142,69,132,193,233,99,88,A++
2067,Divya Gupta,Web Dev,50,113,91,130,167,203,77,86,A++
2068,Nisha Verma,Robotics,50,144,87,105,192,271,87,99,A++
2069,Ravi Patel,Data Sci,42,140,91,112,190,283,81,98,A++
2070,Sneha Mehta,IoT,46,98,99,111,204,296,74,91,A++
2071,Nisha Joshi,Robotics,32,103,93,148,191,268,94,87,A++
2072,Priya Singh,Java,44,144,92,97,203,226,74,71,A++
2073,Anjali Deshmukh,Java,37,109,60,102,182,261,77,66,A+
2074,Aditya Yadav,AI,49,91,77,136,207,275,81,86,A++
2075,Priya Deshmukh,Robotics,40,117,93,96,171,205,84,90,A+
2076,Anjali Sharma,Java,48,132,96,131,188,241,85,76,A++
2077,Neha Joshi,ML,50,126,81,139,221,201,86,77,A++
2078,Meera Gupta,Java,39,122,82,139,224,256,87,71,A++
2079,Karan Nair,Java,40,99,84,121,214,248,92,80,A++
2080,Anjali Gupta,Web Dev,44,104,81,129,242,255,87,70,A++
2081,Neha Yadav,AI,47,123,65,114,217,285,83,88,A++
2082,Divya Patel,Data Sci,34,138,85,114,235,237,95,86,A++
2083,Rahul Mehta,ML,39,125,68,121,242,279,99,93,A++
2084,Aryan Gupta,Robotics,44,128,87,143,180,258,98,74,A++
2085,Rahul Singh,Data Sci,36,122,76,133,247,246,84,67,A++
2086,Sana Patel,AI,47,92,63,121,177,239,74,80,A+
2087,Aditya Roy,IoT,30,95,73,91,250,291,80,84,A++
2088,Priya Rana,Java,32,148,94,100,166,283,92,70,A++
2089,Aditya Rana,Java,31,119,85,104,221,291,81,79,A++
2090,Aditya Patel,ML,47,134,84,110,240,245,95,69,A++
2091,Sana Nair,Robotics,40,126,72,149,221,205,88,76,A++
2092,Rohit Patel,ML,48,108,94,130,230,239,91,76,A++
2093,Vikas Roy,Data Sci,38,110,66,122,231,206,99,78,A++
2094,Sana Mehta,Robotics,50,105,94,97,180,298,99,74,A++
2095,Ravi Chawla,Data Sci,35,93,61,140,172,250,97,80,A++
2096,Vikas Deshmukh,AI,33,122,74,104,240,261,74,87,A++
2097,Nisha Gupta,Robotics,42,131,77,111,177,203,95,100,A++
2098,Ravi Mehta,Data Sci,50,97,86,145,179,252,86,86,A++
2099,Anjali Gupta,AI,42,130,66,117,235,271,73,66,A++
2100,Aditya Verma,Java,49,129,98,108,170,277,91,64,A++
2101,Neha Roy,ML,36,91,88,113,222,262,84,79,A++
2102,Aryan Roy,AI,39,124,90,109,227,214,98,85,A++
2103,Aryan Kapoor,Java,39,111,77,111,172,264,85,84,A++
2104,Neha Mehta,Data Sci,47,125,95,128,191,270,99,75,A++
2105,Aditya Sharma,Web Dev,43,138,83,102,190,259,76,80,A++
2106,Aryan Verma,Robotics,36,101,74,145,220,293,96,96,A++
2107,Karan Deshmukh,ML,45,146,98,93,220,259,80,95,A++
2108,Nisha Verma,Data Sci,32,125,64,109,171,291,96,77,A++
2109,Sneha Kapoor,Data Sci,50,130,61,146,204,290,85,79,A++
2110,Divya Rana,AI,32,90,79,91,247,277,90,71,A++
2111,Aditya Deshmukh,Robotics,31,121,61,122,218,295,99,97,A++
2112,Divya Yadav,ML,46,132,67,110,162,295,80,85,A++
2113,Sneha Rana,IoT,47,147,73,99,200,256,85,98,A++
2114,Aryan Yadav,AI,31,149,83,148,174,205,70,95,A++
2115,Sneha Rana,Data Sci,46,131,74,127,233,201,75,86,A++
2116,Karan Yadav,IoT,35,120,63,128,238,205,98,90,A++
2117,Neha Yadav,AI,38,137,73,134,174,262,91,96,A++
2118,Sneha Mehta,IoT,35,114,61,95,234,240,92,72,A++
2119,Priya Nair,ML,36,138,95,133,194,251,97,65,A++
2120,Priya Kapoor,Java,38,112,66,136,204,267,95,67,A++
2121,Ravi Singh,Web Dev,42,108,66,96,168,277,91,69,A++
2122,Karan Yadav,ML,43,132,97,99,244,266,78,81,A++
2123,Sneha Iyer,Data Sci,30,127,75,123,223,224,83,96,A++
2124,Rohit Gupta,Web Dev,49,112,61,112,212,269,81,72,A++
2125,Karan Mehta,IoT,38,146,63,94,179,291,80,92,A++
2126,Nisha Iyer,Web Dev,40,128,97,131,186,247,95,62,A++
2127,Neha Iyer,Data Sci,48,134,62,107,209,253,98,60,A++
2128,Nisha Iyer,ML,30,123,73,105,218,243,91,87,A++
2129,Meera Roy,IoT,42,121,94,104,217,292,81,93,A++
2130,Priya Verma,Data Sci,36,92,100,105,217,238,93,66,A++
2131,Rahul Kapoor,AI,42,143,98,119,246,276,86,71,A++
2132,Rahul Verma,Robotics,33,101,73,113,161,265,92,71,A++
2133,Nisha Verma,Robotics,35,91,85,102,202,220,87,96,A++
2134,Priya Iyer,AI,39,135,62,138,160,300,84,96,A++
2135,Aditya Rana,ML,50,90,80,109,198,284,81,93,A++
2136,Nisha Nair,Data Sci,35,110,60,134,247,275,97,76,A++
2137,Vikas Patel,ML,34,143,82,123,208,259,97,95,A++
2138,Sana Kapoor,IoT,49,90,78,109,238,282,74,85,A++
2139,Vikas Kapoor,IoT,37,122,69,92,164,224,91,77,A+
2140,Rohit Rana,Robotics,50,137,64,106,186,234,98,83,A++
2141,Karan Verma,AI,40,98,83,101,195,287,85,83,A++
2142,Aditya Kapoor,Data Sci,34,121,96,94,248,283,73,83,A++
2143,Priya Rana,Robotics,45,115,93,91,198,292,95,95,A++
2144,Meera Yadav,IoT,46,130,87,134,160,210,96,100,A++
2145,Anjali Deshmukh,IoT,39,129,76,106,248,242,99,93,A++
2146,Neha Nair,Robotics,45,125,69,150,160,254,81,65,A++
2147,Rahul Joshi,IoT,33,126,90,108,189,230,82,90,A++
2148,Vikas Patel,ML,44,143,64,136,246,218,79,82,A++
2149,Sneha Iyer,IoT,30,108,71,117,239,242,76,95,A++
2150,Rahul Joshi,AI,49,144,76,95,225,275,88,87,A++
2151,Vikas Chawla,Web Dev,47,144,98,92,250,247,92,73,A++
2152,Aryan Nair,Data Sci,50,150,84,133,174,231,96,60,A++
2153,Anjali Chawla,AI,45,147,81,146,161,281,78,97,A++
2154,Sneha Joshi,ML,33,131,81,124,211,238,81,80,A++
2155,Rohit Patel,IoT,38,126,64,107,171,249,77,63,A+
2156,Rohit Yadav,Web Dev,30,96,82,143,226,270,84,97,A++
2157,Aditya Nair,Data Sci,30,99,75,141,169,299,87,86,A++
2158,Anjali Joshi,Robotics,45,150,61,129,195,296,74,74,A++
2159,Divya Iyer,IoT,48,109,65,126,182,207,93,66,A+
2160,Rahul Verma,Java,30,128,84,150,172,202,77,70,A++
2161,Sana Singh,Robotics,50,111,71,147,180,288,94,74,A++
2162,Meera Nair,Data Sci,47,127,77,115,227,280,81,83,A++
2163,Neha Verma,Data Sci,30,90,63,122,243,264,90,70,A++
2164,Karan Kapoor,Data Sci,35,96,77,112,217,290,84,80,A++
2165,Anjali Rana,Web Dev,42,116,83,105,189,245,94,74,A++
2166,Aryan Gupta,Data Sci,48,140,73,148,180,265,76,70,A++
2167,Aryan Sharma,Data Sci,32,131,69,148,204,209,92,89,A++
2168,Neha Kapoor,ML,35,143,62,121,210,259,83,75,A++
2169,Divya Iyer,Robotics,42,99,66,104,222,267,96,87,A++
2170,Neha Yadav,Java,35,93,85,126,160,232,72,90,A+
2171,Karan Sharma,Robotics,38,143,69,93,245,262,77,94,A++
2172,Priya Nair,Robotics,42,141,81,100,174,229,99,62,A++
2173,Karan Rana,Java,38,99,78,117,165,274,86,95,A++
2174,Priya Joshi,Robotics,37,97,76,106,207,256,71,96,A++
2175,Sana Rana,Java,50,98,95,103,165,215,75,74,A+
2176,Aditya Patel,Java,36,146,80,129,203,255,78,83,A++
2177,Aditya Verma,AI,34,143,75,90,203,281,74,100,A++
2178,Vikas Roy,Java,39,117,63,127,236,287,98,61,A++
2179,Ravi Iyer,ML,34,127,80,141,224,209,72,88,A++
2180,Aditya Chawla,Web Dev,41,118,89,118,161,279,81,84,A++
2181,Ravi Verma,IoT,31,148,65,116,182,299,92,78,A++
2182,Ravi Rana,AI,35,105,93,99,185,248,82,61,A++
2183,Neha Deshmukh,ML,46,93,77,108,163,217,91,83,A+
2184,Rohit Sharma,Web Dev,34,146,63,141,218,269,91,70,A++
2185,Priya Patel,Web Dev,36,125,83,138,201,217,78,98,A++
2186,Sneha Sharma,Robotics,46,105,99,118,218,240,73,90,A++
2187,Aditya Sharma,ML,44,102,60,133,194,263,78,77,A++
2188,Priya Rana,Web Dev,41,139,100,101,182,265,98,98,A++
2189,Anjali Roy,Data Sci,42,140,98,132,236,289,92,93,A++
2190,Aryan Iyer,Web Dev,48,137,73,94,202,246,79,92,A++
2191,Sana Joshi,AI,41,132,79,98,203,228,80,61,A++
2192,Aditya Deshmukh,AI,48,106,63,99,235,202,76,86,A++
2193,Rahul Iyer,Data Sci,48,143,70,149,238,286,86,68,A++
2194,Ravi Mehta,IoT,31,107,78,118,161,231,87,72,A+
2195,Karan Singh,ML,31,135,88,118,199,220,81,63,A++
2196,Sana Verma,IoT,47,98,78,118,206,294,75,89,A++
2197,Aditya Iyer,Robotics,32,144,87,102,202,269,85,89,A++
2198,Nisha Sharma,ML,33,106,69,130,179,240,91,89,A++
2199,Anjali Patel,Web Dev,42,102,91,105,212,233,85,60,A++
2200,Ravi Mehta,Robotics,50,116,93,141,225,265,92,88,A++
2201,Meera Roy,Web Dev,48,119,65,139,171,264,82,83,A++
2202,Aditya Gupta,Web Dev,33,120,62,131,222,256,91,84,A++
2203,Aryan Iyer,Robotics,45,97,91,131,221,214,86,76,A++
2204,Priya Kapoor,AI,42,107,64,130,162,249,93,77,A++
2205,Divya Chawla,IoT,41,125,93,110,160,221,82,60,A+
2206,Rahul Sharma,ML,31,130,86,98,206,286,99,82,A++
2207,Divya Deshmukh,Java,32,142,96,123,200,268,96,76,A++
2208,Meera Roy,Robotics,50,149,94,93,202,283,78,74,A++
2209,Sana Joshi,AI,30,140,66,90,248,265,82,64,A++
2210,Nisha Verma,ML,49,115,69,123,203,296,80,86,A++
2211,Sneha Deshmukh,ML,38,118,83,90,162,272,89,68,A++
2212,Sana Mehta,Data Sci,35,132,80,140,169,263,99,86,A++
2213,Anjali Rana,Web Dev,31,113,63,139,176,237,77,60,A+
2214,Meera Singh,Robotics,42,130,71,115,161,207,77,71,A+
2215,Divya Mehta,Robotics,46,98,75,133,226,235,98,81,A++
2216,Aryan Nair,AI,38,108,94,129,213,266,84,79,A++
2217,Divya Yadav,ML,43,144,84,147,178,200,90,73,A++
2218,Sana Yadav,AI,45,140,80,126,191,274,92,63,A++
2219,Rohit Yadav,IoT,31,125,88,95,184,204,87,70,A+
2220,Ravi Singh,Data Sci,44,132,89,145,239,289,75,66,A++
2221,Meera Verma,ML,31,94,63,105,205,219,84,91,A+
2222,Karan Singh,Java,45,102,98,102,240,262,76,96,A++
2223,Aditya Patel,Java,45,96,72,132,193,264,82,64,A++
2224,Aryan Patel,Web Dev,31,127,62,91,227,286,82,85,A++
2225,Rohit Deshmukh,Robotics,33,149,90,92,161,204,94,78,A++
2226,Nisha Singh,AI,50,137,75,131,191,234,98,79,A++
2227,Priya Verma,Robotics,34,103,80,103,166,213,94,93,A+
2228,Meera Singh,Web Dev,43,149,78,109,160,222,72,93,A++
